SampleThreeColorable2.3color real 0m0.011s
SampleNonThreeColorable3.3color real 0m1.417s
sample5.txt real 0m0.003s
sampleTriPod.txt real 0m0.003s
Sample3Colorable.3color real 0m0.004s
SampleThreeColorable2.3color real 0m0.004s
sampleBand.txt real 0m0.003s
SampleNon3Colorable.3color real 0m0.003s
SampleThreeColorable3.3color real 0m0.004s
tests/sampleClique.txt real 0m0.003s
tests/SampleNonThreeColorable2.3color real 0m0.003s
tests/sample.txt real 0m0.003s
tests/samplePentagram.txt real 0m0.003s
balanced_tree_2_6.txt real 0m0.009s
complete3.txt real 0m0.003s
gnp_random_15_0.5.txt real 0m0.003s
balanced_tree_4_3.txt real 0m0.006s
complete32.txt real 0m0.004s
gnp_random_23_0.75.txt real 0m0.003s
balanced_tree_4_7.txt real 2m18.875s
complete4.txt real 0m0.009s
gnp_random_29_0.2.txt real 0m0.003s
barabasi_albert_31_4.txt real 0m0.003s
complete5.txt real 0m0.003s
gnp_random_43_0.8.txt real 0m0.005s
barabasi_albert_47_5.txt real 0m0.004s
complete6.txt real 0m0.003s
ladder_12.txt real 0m0.003s
barabasi_albert_8_2.txt real 0m0.003s
complete64.txt real 0m0.009s
ladder_6.txt real 0m0.003s
barbell_4_2.txt real 0m0.003s
complete7.txt real 0m0.003s
lollipop_15_7.txt real 0m0.003s
barbell_8_5.txt real 0m0.003s
complete8.txt real 0m0.003s
lollipop_8_4.txt real 0m0.003s
binomial_127_0.37.txt real 0m0.014s
complete9.txt real 0m0.003s
powerlaw_cluster_15_4_0.6.txt real 0m0.003s
binomial_31_0.77.txt real 0m0.004s
cycle_graph_14.txt real 0m0.003s
powerlaw_cluster_21_5_0.7.txt real 0m0.003s
circular_ladder_12.txt real 0m0.003s
cycle_graph_8.txt real 0m0.003s
powerlaw_cluster_26_3_0.3.txt real 0m0.003s
circular_ladder_7.txt real 0m0.003s
dorogovtsev_goltsev_mendes_8.txt real 0m3.541s
powerlaw_cluster_99_8_0.39.txt real 0m0.008s
complete1.txt real 0m0.002s
gnm_random_14_16.txt real 0m0.003s
star_15.txt real 0m0.003s
complete128.txt real 0m0.028s
gnm_random_26_103.txt real 0m0.003s
star_33.txt real 0m0.003s
complete16.txt real 0m0.003s
gnm_random_32_256.txt real 0m0.004s
star_65.txt real 0m0.005s
complete2.txt real 0m0.003s
gnm_random_64_1024.txt real 0m0.006s
wheel_63.txt real 0m0.004s
3CNFSAT_small.txt real 0m0.005s
